###############################################################################
#
# whisky5alt2, axis 1 of 5, + direction
#
###############################################################################

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  2.20e+07  |3036773424|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.84631319|  PASSED
      diehard_operm5|   0|   1000000|     100|0.32923617|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.60742069|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.47129006|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.90072207|  PASSED
        diehard_opso|   0|   2097152|     100|0.99938938|   WEAK
        diehard_oqso|   0|   2097152|     100|0.22055670|  PASSED
         diehard_dna|   0|   2097152|     100|0.65250475|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.84598655|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.02533795|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.39419680|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.06844566|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.97423275|  PASSED
     diehard_squeeze|   0|    100000|     100|0.29745861|  PASSED
        diehard_sums|   0|       100|     100|0.01023046|  PASSED
        diehard_runs|   0|    100000|     100|0.89537578|  PASSED
        diehard_runs|   0|    100000|     100|0.73390058|  PASSED
       diehard_craps|   0|    200000|     100|0.58413771|  PASSED
       diehard_craps|   0|    200000|     100|0.80633294|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.64726150|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.31566592|  PASSED
         sts_monobit|   1|    100000|     100|0.93383447|  PASSED
            sts_runs|   2|    100000|     100|0.55915764|  PASSED
          sts_serial|   1|    100000|     100|0.02900549|  PASSED
          sts_serial|   2|    100000|     100|0.39091425|  PASSED
          sts_serial|   3|    100000|     100|0.60131785|  PASSED
          sts_serial|   3|    100000|     100|0.96561798|  PASSED
          sts_serial|   4|    100000|     100|0.66665887|  PASSED
          sts_serial|   4|    100000|     100|0.90028223|  PASSED
          sts_serial|   5|    100000|     100|0.38334388|  PASSED
          sts_serial|   5|    100000|     100|0.60161658|  PASSED
          sts_serial|   6|    100000|     100|0.98173115|  PASSED
          sts_serial|   6|    100000|     100|0.83821312|  PASSED
          sts_serial|   7|    100000|     100|0.70044641|  PASSED
          sts_serial|   7|    100000|     100|0.97256770|  PASSED
          sts_serial|   8|    100000|     100|0.55610654|  PASSED
          sts_serial|   8|    100000|     100|0.99874649|   WEAK
          sts_serial|   9|    100000|     100|0.58382832|  PASSED
          sts_serial|   9|    100000|     100|0.90779861|  PASSED
          sts_serial|  10|    100000|     100|0.93853857|  PASSED
          sts_serial|  10|    100000|     100|0.41737117|  PASSED
          sts_serial|  11|    100000|     100|0.85348068|  PASSED
          sts_serial|  11|    100000|     100|0.72125836|  PASSED
          sts_serial|  12|    100000|     100|0.98552277|  PASSED
          sts_serial|  12|    100000|     100|0.94499386|  PASSED
          sts_serial|  13|    100000|     100|0.97593108|  PASSED
          sts_serial|  13|    100000|     100|0.68891069|  PASSED
          sts_serial|  14|    100000|     100|0.30148043|  PASSED
          sts_serial|  14|    100000|     100|0.01785687|  PASSED
          sts_serial|  15|    100000|     100|0.29294522|  PASSED
          sts_serial|  15|    100000|     100|0.80591355|  PASSED
          sts_serial|  16|    100000|     100|0.26439820|  PASSED
          sts_serial|  16|    100000|     100|0.71506103|  PASSED
         rgb_bitdist|   1|    100000|     100|0.96487762|  PASSED
         rgb_bitdist|   2|    100000|     100|0.28558214|  PASSED
         rgb_bitdist|   3|    100000|     100|0.98089368|  PASSED
         rgb_bitdist|   4|    100000|     100|0.78132416|  PASSED
         rgb_bitdist|   5|    100000|     100|0.36632656|  PASSED
         rgb_bitdist|   6|    100000|     100|0.40310573|  PASSED
         rgb_bitdist|   7|    100000|     100|0.56624303|  PASSED
         rgb_bitdist|   8|    100000|     100|0.39780261|  PASSED
         rgb_bitdist|   9|    100000|     100|0.58798552|  PASSED
         rgb_bitdist|  10|    100000|     100|0.89642565|  PASSED
         rgb_bitdist|  11|    100000|     100|0.50440114|  PASSED
         rgb_bitdist|  12|    100000|     100|0.39960322|  PASSED
rgb_minimum_distance|   2|     10000|    1000|0.85727134|  PASSED
rgb_minimum_distance|   3|     10000|    1000|0.21872745|  PASSED
rgb_minimum_distance|   4|     10000|    1000|0.70852087|  PASSED
rgb_minimum_distance|   5|     10000|    1000|0.31160293|  PASSED
    rgb_permutations|   2|    100000|     100|0.56072548|  PASSED
    rgb_permutations|   3|    100000|     100|0.99285652|  PASSED
    rgb_permutations|   4|    100000|     100|0.98732160|  PASSED
    rgb_permutations|   5|    100000|     100|0.41816479|  PASSED
      rgb_lagged_sum|   0|   1000000|     100|0.80825208|  PASSED
      rgb_lagged_sum|   1|   1000000|     100|0.45285159|  PASSED
      rgb_lagged_sum|   2|   1000000|     100|0.80668935|  PASSED
      rgb_lagged_sum|   3|   1000000|     100|0.79346626|  PASSED
      rgb_lagged_sum|   4|   1000000|     100|0.22512727|  PASSED
      rgb_lagged_sum|   5|   1000000|     100|0.88805483|  PASSED
      rgb_lagged_sum|   6|   1000000|     100|0.17851372|  PASSED
      rgb_lagged_sum|   7|   1000000|     100|0.74081586|  PASSED
      rgb_lagged_sum|   8|   1000000|     100|0.22272482|  PASSED
      rgb_lagged_sum|   9|   1000000|     100|0.69071394|  PASSED
      rgb_lagged_sum|  10|   1000000|     100|0.85790453|  PASSED
      rgb_lagged_sum|  11|   1000000|     100|0.99760473|   WEAK
      rgb_lagged_sum|  12|   1000000|     100|0.91196340|  PASSED
      rgb_lagged_sum|  13|   1000000|     100|0.83382602|  PASSED
      rgb_lagged_sum|  14|   1000000|     100|0.20152774|  PASSED
      rgb_lagged_sum|  15|   1000000|     100|0.42519432|  PASSED
      rgb_lagged_sum|  16|   1000000|     100|0.61176449|  PASSED
      rgb_lagged_sum|  17|   1000000|     100|0.57146338|  PASSED
      rgb_lagged_sum|  18|   1000000|     100|0.96986975|  PASSED
      rgb_lagged_sum|  19|   1000000|     100|0.02287217|  PASSED
      rgb_lagged_sum|  20|   1000000|     100|0.69763006|  PASSED
      rgb_lagged_sum|  21|   1000000|     100|0.34568246|  PASSED
      rgb_lagged_sum|  22|   1000000|     100|0.16609914|  PASSED
      rgb_lagged_sum|  23|   1000000|     100|0.58449830|  PASSED
      rgb_lagged_sum|  24|   1000000|     100|0.71611111|  PASSED
      rgb_lagged_sum|  25|   1000000|     100|0.26372283|  PASSED
      rgb_lagged_sum|  26|   1000000|     100|0.39325190|  PASSED
      rgb_lagged_sum|  27|   1000000|     100|0.46827752|  PASSED
      rgb_lagged_sum|  28|   1000000|     100|0.90189209|  PASSED
      rgb_lagged_sum|  29|   1000000|     100|0.98468466|  PASSED
      rgb_lagged_sum|  30|   1000000|     100|0.97747985|  PASSED
      rgb_lagged_sum|  31|   1000000|     100|0.02248206|  PASSED
      rgb_lagged_sum|  32|   1000000|     100|0.31715073|  PASSED
     rgb_kstest_test|   0|     10000|    1000|0.64271346|  PASSED
     dab_bytedistrib|   0|  51200000|       1|0.05301458|  PASSED
             dab_dct| 256|     50000|       1|0.15014667|  PASSED
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.77301358|  PASSED
        dab_filltree|  32|  15000000|       1|0.43344963|  PASSED
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.07536324|  PASSED
       dab_filltree2|   1|   5000000|       1|0.74898131|  PASSED
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.94278270|  PASSED

###############################################################################
#
# whisky5alt2, axis 1 of 5, - direction
#
###############################################################################

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  2.18e+07  |1978336742|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.81109395|  PASSED
      diehard_operm5|   0|   1000000|     100|0.98542577|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.23050452|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.99280759|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.75514482|  PASSED
        diehard_opso|   0|   2097152|     100|0.45192251|  PASSED
        diehard_oqso|   0|   2097152|     100|0.84586726|  PASSED
         diehard_dna|   0|   2097152|     100|0.93265432|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.70320431|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.47883601|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.59664629|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.82132980|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.60522539|  PASSED
     diehard_squeeze|   0|    100000|     100|0.09415554|  PASSED
        diehard_sums|   0|       100|     100|0.11299701|  PASSED
        diehard_runs|   0|    100000|     100|0.79395285|  PASSED
        diehard_runs|   0|    100000|     100|0.92171778|  PASSED
       diehard_craps|   0|    200000|     100|0.46491086|  PASSED
       diehard_craps|   0|    200000|     100|0.40322670|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.75580005|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.27468587|  PASSED
         sts_monobit|   1|    100000|     100|0.23930163|  PASSED
            sts_runs|   2|    100000|     100|0.31205418|  PASSED
          sts_serial|   1|    100000|     100|0.98140309|  PASSED
          sts_serial|   2|    100000|     100|0.93846179|  PASSED
          sts_serial|   3|    100000|     100|0.93261169|  PASSED
          sts_serial|   3|    100000|     100|0.63598549|  PASSED
          sts_serial|   4|    100000|     100|0.58462973|  PASSED
          sts_serial|   4|    100000|     100|0.08237814|  PASSED
          sts_serial|   5|    100000|     100|0.91576995|  PASSED
          sts_serial|   5|    100000|     100|0.94981739|  PASSED
          sts_serial|   6|    100000|     100|0.92157760|  PASSED
          sts_serial|   6|    100000|     100|0.69533607|  PASSED
          sts_serial|   7|    100000|     100|0.82616725|  PASSED
          sts_serial|   7|    100000|     100|0.37547222|  PASSED
          sts_serial|   8|    100000|     100|0.26919576|  PASSED
          sts_serial|   8|    100000|     100|0.31061223|  PASSED
          sts_serial|   9|    100000|     100|0.48434709|  PASSED
          sts_serial|   9|    100000|     100|0.66845442|  PASSED
          sts_serial|  10|    100000|     100|0.52859221|  PASSED
          sts_serial|  10|    100000|     100|0.58009576|  PASSED
          sts_serial|  11|    100000|     100|0.27844876|  PASSED
          sts_serial|  11|    100000|     100|0.30029367|  PASSED
          sts_serial|  12|    100000|     100|0.59004867|  PASSED
          sts_serial|  12|    100000|     100|0.94404419|  PASSED
          sts_serial|  13|    100000|     100|0.17126759|  PASSED
          sts_serial|  13|    100000|     100|0.15420472|  PASSED
          sts_serial|  14|    100000|     100|0.35629401|  PASSED
          sts_serial|  14|    100000|     100|0.98330752|  PASSED
          sts_serial|  15|    100000|     100|0.13309016|  PASSED
          sts_serial|  15|    100000|     100|0.64059529|  PASSED
          sts_serial|  16|    100000|     100|0.80068887|  PASSED
          sts_serial|  16|    100000|     100|0.86315422|  PASSED
         rgb_bitdist|   1|    100000|     100|0.07094959|  PASSED
         rgb_bitdist|   2|    100000|     100|0.60480998|  PASSED
         rgb_bitdist|   3|    100000|     100|0.10742295|  PASSED
         rgb_bitdist|   4|    100000|     100|0.52303531|  PASSED
         rgb_bitdist|   5|    100000|     100|0.99542370|   WEAK
         rgb_bitdist|   6|    100000|     100|0.63231932|  PASSED
         rgb_bitdist|   7|    100000|     100|0.06952767|  PASSED
         rgb_bitdist|   8|    100000|     100|0.08536478|  PASSED
         rgb_bitdist|   9|    100000|     100|0.64316915|  PASSED
         rgb_bitdist|  10|    100000|     100|0.50520012|  PASSED
         rgb_bitdist|  11|    100000|     100|0.60176237|  PASSED
         rgb_bitdist|  12|    100000|     100|0.81120249|  PASSED
rgb_minimum_distance|   2|     10000|    1000|0.88359199|  PASSED
rgb_minimum_distance|   3|     10000|    1000|0.28817182|  PASSED
rgb_minimum_distance|   4|     10000|    1000|0.25727602|  PASSED
rgb_minimum_distance|   5|     10000|    1000|0.08084596|  PASSED
    rgb_permutations|   2|    100000|     100|0.93177524|  PASSED
    rgb_permutations|   3|    100000|     100|0.80805028|  PASSED
    rgb_permutations|   4|    100000|     100|0.72057782|  PASSED
    rgb_permutations|   5|    100000|     100|0.80169777|  PASSED
      rgb_lagged_sum|   0|   1000000|     100|0.79919975|  PASSED
      rgb_lagged_sum|   1|   1000000|     100|0.87270565|  PASSED
      rgb_lagged_sum|   2|   1000000|     100|0.92287141|  PASSED
      rgb_lagged_sum|   3|   1000000|     100|0.16009376|  PASSED
      rgb_lagged_sum|   4|   1000000|     100|0.69796853|  PASSED
      rgb_lagged_sum|   5|   1000000|     100|0.67027991|  PASSED
      rgb_lagged_sum|   6|   1000000|     100|0.22907817|  PASSED
      rgb_lagged_sum|   7|   1000000|     100|0.12421559|  PASSED
      rgb_lagged_sum|   8|   1000000|     100|0.56418276|  PASSED
      rgb_lagged_sum|   9|   1000000|     100|0.48306126|  PASSED
      rgb_lagged_sum|  10|   1000000|     100|0.98377230|  PASSED
      rgb_lagged_sum|  11|   1000000|     100|0.54448588|  PASSED
      rgb_lagged_sum|  12|   1000000|     100|0.25476125|  PASSED
      rgb_lagged_sum|  13|   1000000|     100|0.90393573|  PASSED
      rgb_lagged_sum|  14|   1000000|     100|0.62667022|  PASSED
      rgb_lagged_sum|  15|   1000000|     100|0.99342703|  PASSED
      rgb_lagged_sum|  16|   1000000|     100|0.91785815|  PASSED
      rgb_lagged_sum|  17|   1000000|     100|0.60118726|  PASSED
      rgb_lagged_sum|  18|   1000000|     100|0.07435177|  PASSED
      rgb_lagged_sum|  19|   1000000|     100|0.78938734|  PASSED
      rgb_lagged_sum|  20|   1000000|     100|0.03917043|  PASSED
      rgb_lagged_sum|  21|   1000000|     100|0.70800555|  PASSED
      rgb_lagged_sum|  22|   1000000|     100|0.93598303|  PASSED
      rgb_lagged_sum|  23|   1000000|     100|0.64889146|  PASSED
      rgb_lagged_sum|  24|   1000000|     100|0.92091193|  PASSED
      rgb_lagged_sum|  25|   1000000|     100|0.64316905|  PASSED
      rgb_lagged_sum|  26|   1000000|     100|0.14916964|  PASSED
      rgb_lagged_sum|  27|   1000000|     100|0.08748033|  PASSED
      rgb_lagged_sum|  28|   1000000|     100|0.18009072|  PASSED
      rgb_lagged_sum|  29|   1000000|     100|0.31960131|  PASSED
