###############################################################################
#
# whisky4alt2, axis 1 of 4, + direction
#
###############################################################################

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  2.21e+07  |1539910488|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.52681032|  PASSED
      diehard_operm5|   0|   1000000|     100|0.98055458|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.27588008|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.68122303|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.49859175|  PASSED
        diehard_opso|   0|   2097152|     100|0.79953043|  PASSED
        diehard_oqso|   0|   2097152|     100|0.72350568|  PASSED
         diehard_dna|   0|   2097152|     100|0.25485817|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.52451168|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.84567493|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.03499926|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.74050585|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.83703594|  PASSED
     diehard_squeeze|   0|    100000|     100|0.87595537|  PASSED
        diehard_sums|   0|       100|     100|0.18438214|  PASSED
        diehard_runs|   0|    100000|     100|0.15414534|  PASSED
        diehard_runs|   0|    100000|     100|0.62626512|  PASSED
       diehard_craps|   0|    200000|     100|0.92010123|  PASSED
       diehard_craps|   0|    200000|     100|0.64320430|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.45026235|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.14031686|  PASSED
         sts_monobit|   1|    100000|     100|0.85663046|  PASSED
            sts_runs|   2|    100000|     100|0.86206427|  PASSED
          sts_serial|   1|    100000|     100|0.01460002|  PASSED
          sts_serial|   2|    100000|     100|0.14751887|  PASSED
          sts_serial|   3|    100000|     100|0.49179482|  PASSED
          sts_serial|   3|    100000|     100|0.03681536|  PASSED
          sts_serial|   4|    100000|     100|0.37439520|  PASSED
          sts_serial|   4|    100000|     100|0.21544202|  PASSED
          sts_serial|   5|    100000|     100|0.98069803|  PASSED
          sts_serial|   5|    100000|     100|0.25126586|  PASSED
          sts_serial|   6|    100000|     100|0.18178467|  PASSED
          sts_serial|   6|    100000|     100|0.14128304|  PASSED
          sts_serial|   7|    100000|     100|0.27036704|  PASSED
          sts_serial|   7|    100000|     100|0.65423662|  PASSED
          sts_serial|   8|    100000|     100|0.97520508|  PASSED
          sts_serial|   8|    100000|     100|0.35733965|  PASSED
          sts_serial|   9|    100000|     100|0.62716535|  PASSED
          sts_serial|   9|    100000|     100|0.30730819|  PASSED
          sts_serial|  10|    100000|     100|0.97219511|  PASSED
          sts_serial|  10|    100000|     100|0.85687521|  PASSED
          sts_serial|  11|    100000|     100|0.85053806|  PASSED
          sts_serial|  11|    100000|     100|0.33607817|  PASSED
          sts_serial|  12|    100000|     100|0.46129980|  PASSED
          sts_serial|  12|    100000|     100|0.14499475|  PASSED
          sts_serial|  13|    100000|     100|0.39153722|  PASSED
          sts_serial|  13|    100000|     100|0.94484534|  PASSED
          sts_serial|  14|    100000|     100|0.49059263|  PASSED
          sts_serial|  14|    100000|     100|0.94711347|  PASSED
          sts_serial|  15|    100000|     100|0.87142867|  PASSED
          sts_serial|  15|    100000|     100|0.98286987|  PASSED
          sts_serial|  16|    100000|     100|0.99937100|   WEAK
          sts_serial|  16|    100000|     100|0.88200657|  PASSED
         rgb_bitdist|   1|    100000|     100|0.70454304|  PASSED
         rgb_bitdist|   2|    100000|     100|0.75385809|  PASSED
         rgb_bitdist|   3|    100000|     100|0.25699055|  PASSED
         rgb_bitdist|   4|    100000|     100|0.80449364|  PASSED
         rgb_bitdist|   5|    100000|     100|0.81107669|  PASSED
         rgb_bitdist|   6|    100000|     100|0.61381261|  PASSED
         rgb_bitdist|   7|    100000|     100|0.70748249|  PASSED
         rgb_bitdist|   8|    100000|     100|0.48056319|  PASSED
         rgb_bitdist|   9|    100000|     100|0.01781986|  PASSED
         rgb_bitdist|  10|    100000|     100|0.49322549|  PASSED
         rgb_bitdist|  11|    100000|     100|0.71477792|  PASSED
         rgb_bitdist|  12|    100000|     100|0.04312699|  PASSED
rgb_minimum_distance|   2|     10000|    1000|0.14012813|  PASSED
rgb_minimum_distance|   3|     10000|    1000|0.86228576|  PASSED
rgb_minimum_distance|   4|     10000|    1000|0.00533803|  PASSED
rgb_minimum_distance|   5|     10000|    1000|0.07567768|  PASSED
    rgb_permutations|   2|    100000|     100|0.47234885|  PASSED
    rgb_permutations|   3|    100000|     100|0.72740783|  PASSED
    rgb_permutations|   4|    100000|     100|0.67207220|  PASSED
    rgb_permutations|   5|    100000|     100|0.64274174|  PASSED
      rgb_lagged_sum|   0|   1000000|     100|0.95224155|  PASSED
      rgb_lagged_sum|   1|   1000000|     100|0.62017829|  PASSED
      rgb_lagged_sum|   2|   1000000|     100|0.99178713|  PASSED
      rgb_lagged_sum|   3|   1000000|     100|0.03582297|  PASSED
      rgb_lagged_sum|   4|   1000000|     100|0.08825662|  PASSED
      rgb_lagged_sum|   5|   1000000|     100|0.37112101|  PASSED
      rgb_lagged_sum|   6|   1000000|     100|0.03631942|  PASSED
      rgb_lagged_sum|   7|   1000000|     100|0.41146473|  PASSED
      rgb_lagged_sum|   8|   1000000|     100|0.92672457|  PASSED
      rgb_lagged_sum|   9|   1000000|     100|0.90348635|  PASSED
      rgb_lagged_sum|  10|   1000000|     100|0.93544647|  PASSED
      rgb_lagged_sum|  11|   1000000|     100|0.98629650|  PASSED
      rgb_lagged_sum|  12|   1000000|     100|0.97131206|  PASSED
      rgb_lagged_sum|  13|   1000000|     100|0.68843524|  PASSED
      rgb_lagged_sum|  14|   1000000|     100|0.21885518|  PASSED
      rgb_lagged_sum|  15|   1000000|     100|0.90981780|  PASSED
      rgb_lagged_sum|  16|   1000000|     100|0.14176750|  PASSED
      rgb_lagged_sum|  17|   1000000|     100|0.61198530|  PASSED
      rgb_lagged_sum|  18|   1000000|     100|0.05946686|  PASSED
      rgb_lagged_sum|  19|   1000000|     100|0.26478170|  PASSED
      rgb_lagged_sum|  20|   1000000|     100|0.95855894|  PASSED
      rgb_lagged_sum|  21|   1000000|     100|0.03941575|  PASSED
      rgb_lagged_sum|  22|   1000000|     100|0.34167073|  PASSED
      rgb_lagged_sum|  23|   1000000|     100|0.03540086|  PASSED
      rgb_lagged_sum|  24|   1000000|     100|0.00730411|  PASSED
      rgb_lagged_sum|  25|   1000000|     100|0.44672528|  PASSED
      rgb_lagged_sum|  26|   1000000|     100|0.60807383|  PASSED
      rgb_lagged_sum|  27|   1000000|     100|0.96920985|  PASSED
      rgb_lagged_sum|  28|   1000000|     100|0.87281433|  PASSED
      rgb_lagged_sum|  29|   1000000|     100|0.45929412|  PASSED
      rgb_lagged_sum|  30|   1000000|     100|0.96579895|  PASSED
      rgb_lagged_sum|  31|   1000000|     100|0.54666885|  PASSED
