###############################################################################
#
# whisky5alt, axis 1 of 5, + direction
#
###############################################################################

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  2.20e+07  | 372419227|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.22780282|  PASSED
      diehard_operm5|   0|   1000000|     100|0.45458540|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.09498041|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.47569315|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.39285682|  PASSED
        diehard_opso|   0|   2097152|     100|0.45170112|  PASSED
        diehard_oqso|   0|   2097152|     100|0.86755431|  PASSED
         diehard_dna|   0|   2097152|     100|0.79518228|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.97582051|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.49329715|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.05374144|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.44453260|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.58051031|  PASSED
     diehard_squeeze|   0|    100000|     100|0.57035770|  PASSED
        diehard_sums|   0|       100|     100|0.00672039|  PASSED
        diehard_runs|   0|    100000|     100|0.14006271|  PASSED
        diehard_runs|   0|    100000|     100|0.45286847|  PASSED
       diehard_craps|   0|    200000|     100|0.72803279|  PASSED
       diehard_craps|   0|    200000|     100|0.65603347|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.84509126|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.06935968|  PASSED
         sts_monobit|   1|    100000|     100|0.91367291|  PASSED
            sts_runs|   2|    100000|     100|0.25853544|  PASSED
          sts_serial|   1|    100000|     100|0.94141546|  PASSED
          sts_serial|   2|    100000|     100|0.98777616|  PASSED
          sts_serial|   3|    100000|     100|0.94798221|  PASSED
          sts_serial|   3|    100000|     100|0.40730384|  PASSED
          sts_serial|   4|    100000|     100|0.11438586|  PASSED
          sts_serial|   4|    100000|     100|0.08509373|  PASSED
          sts_serial|   5|    100000|     100|0.99998971|   WEAK
          sts_serial|   5|    100000|     100|0.56341855|  PASSED
          sts_serial|   6|    100000|     100|0.97272346|  PASSED
          sts_serial|   6|    100000|     100|0.81023456|  PASSED
